,place_A,why_A,story_A,place_B,why_B,story_B,empathy
1077,"I found it online, but it's a beach in the Coastal Haven that I live in.","The beach in my Coastal Haven I go to often makes me feel welcomed because of the warm and inclusive community that surrounds it. No matter my age, ethnicity, or background, I always feel like I belong and can connect with others at the beach. Whether I am looking for a peaceful solo walk or a lively group activity, I can always find something to do that aligns with my interests and personality.","could be someone with physical disabilities. To make the space more welcoming for them, the beach could provide accessible ramps or pathways to the sand and water, as well as beach wheelchairs for rental. Also providing resources for those with disabilities would create a more welcoming environment.",This is the backyard of a place in my neighborhood. It is right on the ocean. The owner invites locals over all the time but never me.,I have wanted to hang out on this patio ever since I moved to Whispering Cove years ago. The owner has seen me walk by countless times and I've watched him literally invite strangers in front of me. I feel excluded because I don't look like the typical beach/surf looking people in the community. It makes me sad to not be able to hang out in a place with such a great view.,I understand you can't invite everyone to private patio but I would invite those you see all the time who seem like nice people. I would keep in mind others feelings when you invite one stranger but not another when they are both standing next to each other. the way the space could be less excluding and more welcoming is the owner could host events for the neighborhood that invited all the locals. He could put up fliers or hand them out to people. He could make the space more accessible and less gatekept this way. The space could even have a sign up in front of it with the date and time of the events.,90
1078,This is my hometown's local pharmacy.,"This is the only pharmacy in the town of Willowbrook where I lived growing up, which is very small. It is extremely local and you often run into people that you know who work or shop in there. I have been going here ever since I was a little girl and I personally am very fond of it. I know people who work there and I really like how it reminds me of my childhood. The decor and merchandise remind me of how old apothecaries are sometimes depicted.","I would modify the space to seem a little less sterile when you first walk in. I am used to the white tile and shelving but it does seem a little bit too business-y if you aren't expecting that. Maybe there could be a little more of a entrance area, with some warmer, welcoming colors and decor before the shelves begin.",Mystic Haven church campus near my neighborhood,"I am not a Christian.  And this church is very conservative.  I would not feel welcome there because my beliefs don't align with a conservative Christianity.  And this is just one of three campuses for this church.  They are huge.  I don't see how you could feel at home there.  In addition, I had a church member tell me the only reason they joined there was for the business contacts.","Have a facility that was smaller so you wouldn't feel overwhelmed.  I am not sure this particular facility could be made to feel more welcoming.  It is an old mall that sat empty for a long time.  I do appreciate that they made it into a viable building that is being used.  Also, they would need to do some communicating about how people are welcome at their church.",73
1079,this is my neighborhood,I have great neighbors who check in with me and my family. They have been awesome about answering questions for me and they brought gifts at Christmas after we moved in. We even have a Facebook community to deal with issues affecting our part of the Evergreen District.,I am white and live in a historically Black neighborhood. Some white people might not feel comfortable here. I feel like seeing more diversity in the neighborhood would help people feel more comfortable. Perhaps more community activities would bring people out of their homes and allow others to see that it's a great place to live.,Police academy in my neighborhood,"Some marginalized people have has a bad experience with police. Me personally, aside from those negative experiences, I've also had negative experiences with people at the Evergreen Training Center. As they train, they take over public Meadowland space which ends up feeling like they are pushing away space for locals who frequent the Meadowland like me. Also, one time, someone from the Evergreen Training Center almost ran me over with their car.",I think the Evergreen Training Center should do more to outreach to the neighborhood,44
1080,This is rainforest at Elmswood Valley.,"This is my hometown! I absolutely loved going through this rainforest and experiencing the weather, seeing the animals and getting into the water.",Perhaps I would say some of my friends that suffer from OCD; they would not even think about getting into a wild river. Perhaps I would not take them there at all. They would not have a good time and I value their comfort more than a rainforest.,Serenity Cove Beach,I always feel judged by my appearance when I go there. I want to feel welcome no matter what I look like. I love the beach too.,Have more people like me. Have less judgement. Have people be kinder.,80
1081,park,great place for leisure,recreational activities,The area across the road is meant to be a Greendale Park. They are going to build a Greendale Park across the road from my home.,The area that is being built. It is only going to be a Greendale Park for all dogs EXCEPT for pit bulls. I own pit bulls. My dogs will not be welcome to go to a Greendale Park right across the street from them.,I accept that pit bulls aren't allowed to be around other dogs. I would love for them to allow a certain time for pit bulls to be there.,35
1082,The Emerald Grove closest to me.,"I see all types of people in this very welcoming space. The employees are kind and treat everyone with respect, no matter who they are or what they look like. The space itself is inclusive, warm, and inviting, and the selection of books available is broad. They have events here for people from all walks of life.","My only thought is that it might be a little difficult to get around for a person with mobility issues. There is an elevator, but some of the features of the space may be difficult to use from a wheelchair or scooter.",A part of my child's school where the parent meetings take place,"I feel excluded because I'm not like the other parents. I didn't grow up in this neighborhood, while others did & have extended family here. So, everybody else knows each other. This is a hispanic community & I am not hispanic. I recently attended a meeting for parents to plan out special activities to thank the teachers. I was the only English speaker in attendance. While I remember a little Spanish from highschool & I'm trying to learn, there was no one there to translate for me. I felt awkward & left out even though I wanted to contribute. I DID end up understanding enough to volunteer to make homemade Pancakes for the teachers, which everyone seemed excited about.",It would be wonderful if the person leading the meetings said things in English & in Spanish. Or at least someone in attendance who can translate. I know there's other parents who would also attend & volunteer but they feel awkward too. I'm determined to contribute & learn the language.... even if I feel awkward & uncomfortable!,95
1083,The raccoons down at the Crystal Bay where I feed the cats,"The cats that have been abandoned at the Crystal Bay make me feel welcome when I come to feed them. Occasionally, the raccoons greet me and want to eat as well. I am happy to feed everyone down at the Crystal Bay.","Well, the Crystal Bay isn't for everybody, and the cats probably don't really want to be there. I honestly don't think I'd change anything, except for the cats. Not everybody deserves to feel  ""welcome"" everywhere. It's a big world.",Tot lot/dog park,"It's a place meant for children (or dogs depending on who you ask). As I have neither, I don't feel like it's a usable space for me in the community. It's also usually a key topic of convo in the neighborhood conversations, which I don't feel like I can participate in.",I would make it have more activities or build more features that can be used by other adults as well.,59
1084,Big lots retail store,They are friendly and their prices are great. I always want to come back because of the atmosphere. I feel like this store understands their customers.,I think improving the bathroom hygiene and having someone more knowledgeable about their furniture products would help them include more people.,A very high end furniture store.,I'm an Interior Designer and even I feel intimidated by this store. It's a avant guard and it feels like you are being watched when you go in!,Put less avant- guard pieces in the window. Maybe by adding some plants out front.,10
1085,"This is the park at the middle of the Willowbrook Towne Square which is a large, outdoor shopping center and also the city's services (like the library, car registration, post office, property tax office, police, etc.). At the center is this really pretty park with a fountain and a large gazebo nearby. They host music and art events here quite often.","This is a ""one stop shopping"" kind of place. I don't mean that it is just stores or even restaurants, but on the edge of this center are some really nice apartments so all this is within walking distance. But pretty much everything you need (other than groceries which is available about 1.5 miles down the road) is right here. And this center park is just one of four within this fairly large outdoor shopping/service area.","Because the Willowbrook police office is nearby, anyone that might cause people trying to enjoy the park or shopping experience feel unsafe could have law enforcement there in just a few moments that might roust someone making others feel uncomfortable. I think that would make someone who isn't having a great day really sour their outlook on Willowbrook people.",A members only club that takes up a chunk of the waterfront in Silverdale.,It's a very upscale exclusive club. I don't feel like I belong here because I can't afford membership. The parking lot is full of fancy cars and it feels focused on the wealthy people in the community.,Not have the club be in the middle of the town. I would also some of the members only signs so it isn't as obvious. I would reduce the advertising around town to make it feel more inclusive.,90
1086,My church,"Everyone is welcome. From the moment you walk in the door you are greeted warmly. There is a visitor's desk for newcomers, and our pastor goes out of his way to make sure everyone is welcome here.",I think people who have had bad history with other churches in their pasts might still not feel welcome. I think just making sure they hear the recurring message that no one is judgemental is helpful.,The church I use to attend.,As I am a single parent they seem to only want to interact with married persons. People are really wealthy and can be competitive.  I am not wealthy.i feel excluded because  I am a single person and when I volunteer they say no.,Let all that want to volunteer.  you never know who has talent..,69
1087,"taken by a friend, which he liked.",the type of environment it provides and the tranquility.,"its own space as such, nice to be honest.",I took this picture in Eldenwood and of a local church.,"This place is one of many in our community. Churches dominate our community. The people who attend these churches make me feel excluded because of who I am. The reason why it makes me feel this way is because we live in a small town. Therefore, everyone knows everyone. I feel like because of my life choices, churches and the people in it, look down on me. I've seen the church going people talk about others while in church.","If I could, I would implement a zero tolerance policy for the gossiping about others and it actually be effective. If I could, I would set in place casual wear at most during service. Also, I would divide duties equally in the church. I wouldn't allow people to be treated like a charity case.",37
1088,A very popular but small concert venue in my city,"This venue is known for being a safe space for marginalized communities and vulnerable individuals. They have a strict set of respect rules, and prioritize the safety and happiness of the customers. The staff and fellow customers are incredibly kind and will helo you with anything.","It may not be very inclusive for those who are physically disabled. There are not enough seats, and the few seats that are there are in the very very back behind the crowd. The music is also very loud so maybe they could provide ear plugs for those who get overstimulated easily.",I took a photo of the bar in my community. It has an indoors area and a drive-through.,"This place makes me feel excluded because of who I am because I don't drink alcohol, so I'm not in that type of crowd. The people make me feel excluded because they are rude and they only care about getting drunk. I had someone ask me why come to the Elms Tavern if you don't drink alcohol. I went to be around people and hang out with a friend, but I don't plan to ever go back to this place.","I would make this space more welcoming by adding an area outside for people to hang out and talk without having to be inside around the major drinking crowd. I would also make it less excluding by offering non-alcoholic beverages for people that come to hang out, not to drink. The main modification I would make would be closing the drive-through part because it makes the area less appealing to the public.",63
1089,"Our community school coordinator, Dominique Willis’ goal is to create long-lasting relationships with community organizations.","who works at Elmsworth Academy in Greenholm, an unincorporated community in Bramble County, said strong partnerships ensure that students and the surrounding community always have the resources they need to thrive.",everyone is welcome here for self-improvement and to help the community thrive with good bonding and best care for each other.,At my children's Castleridge school.,"This photo is taken just inside of my daughter's Castleridge school. It makes me feel like no parents are allowed in to drop off the children. The additional gates are an unfortunate necessity due to an increase in school shootings. This is meant to keep criminals out, but it also makes me feel excluded as a parent.",I don't know what solution to provide. The gates are necessary. I would rather my children feel safe. Maybe they can add some artwork or decorations to the gates to make it appear more cheetful.,74
1090,A pasture on the greenway,It is a great place to hike along the river and see wildlife. I enjoy being outside and this welcomes me.,Make it wheelchair accessible. Put in ramps and make for easier access.,The area across the road is meant to be a Greendale Park. They are going to build a Greendale Park across the road from my home.,The area that is being built. It is only going to be a Greendale Park for all dogs EXCEPT for pit bulls. I own pit bulls. My dogs will not be welcome to go to a Greendale Park right across the street from them.,I accept that pit bulls aren't allowed to be around other dogs. I would love for them to allow a certain time for pit bulls to be there.,27
1091,Skatebird Windvale,"The skatepark is such a loving and community-driven place. Seeing the same people almost every day creates a sense of camaraderie and we begin to not only connect but look out for each other. Bonding over a mutual love of action sports, and pushing each other to be better athletes and better people every day.","I think I would make it free. It does cost money to skate here because it is privately owned. This is not accessible to a lower-income population. They should also get a chance to join in on the fun, the skate lessons, and the live music events.",The waiting room of the Enchanted Imaging Center.,I feel like when i wait here thereAre always people with much worse outward problems that take me less seriously because I am younger and appear healthy.,Training for staff about being equally compassionate with each patient vs an it could be worse attitude.,52
1092,Whispering Pines Community Library,"Whispering Pines, Enchanted Valley, may have a community library or a library within the city. Community libraries typically serve the local population by providing access to books, educational resources, internet services, and community programs. If you're interested in the library services available in Whispering Pines, Enchanted Valley, I recommend contacting the city's local government or searching online for more information.","Community libraries like the one in Whispering Pines, Enchanted Valley, often offer a range of services beyond lending books. They may host events such as storytime sessions for children, book clubs for adults, educational workshops, and computer classes. Additionally, community libraries often serve as gathering places for residents to socialize, study, and access information about local resources and events.",The area across the road is meant to be a Greendale Park. They are going to build a Greendale Park across the road from my home.,The area that is being built. It is only going to be a Greendale Park for all dogs EXCEPT for pit bulls. I own pit bulls. My dogs will not be welcome to go to a Greendale Park right across the street from them.,I accept that pit bulls aren't allowed to be around other dogs. I would love for them to allow a certain time for pit bulls to be there.,48
1093,Big lots retail store,They are friendly and their prices are great. I always want to come back because of the atmosphere. I feel like this store understands their customers.,I think improving the bathroom hygiene and having someone more knowledgeable about their furniture products would help them include more people.,This is a picture of some vacant retail shopping areas. One of the locations was once a furniture store.,"When this building was a furniture store, my wife and I were treated poorly by the staff when looking for a kitchen table. This was a higher end furniture store. We had a feeling that we were not greeted or helped because, at the time, we were dressed in weekend comfortable clothes. While even though the store is now out of business, I am often reminded of that experience when I drive by the buildings.",We would have felt more included at the furniture if we were simply greeted in a nice way and had the sales people kindly guide us to what we were looking for. A little bit of niceness goes a long way.,68
1094,I took a photo of a walking path by my childhood home.,I feel welcomed for who I am here because the layout is open and bright so I always feel safe. I also know the path well so I never get lost. Everyone there is always friendly and says hello so it feels like a welcoming community.,Someone who is physically disabled might feel excluded from this space. We could modify it by ensuring there are paths that can be accessed by wheelchair or scooter. We could also make areas that can be accessed by car so these people who can't walk long distances can still engage with the nature and community.,A retention pond in Everwood Vale.,I see some neighborhood kids fishing in pond. I don't feel welcome when I sit on bench. It appears the kids want me to leave. They don't talk to me and keep to themselves,I would put a fountain in pond. I also would put a sign that all residents can use. Dont want to feel excluded,12
1095,University Grounds,The students and teachers are friendly. Sometimes we pass by and smile at each other before we go to our respective classes. People are pretty chill here.,"I would probably want more outdoor events here. Most clubs operate indoors in unoccupied classes. I bet if more things were outdoors, people would feel more welcomed to participate.",A part of my child's school where the parent meetings take place,"I feel excluded because I'm not like the other parents. I didn't grow up in this neighborhood, while others did & have extended family here. So, everybody else knows each other. This is a hispanic community & I am not hispanic. I recently attended a meeting for parents to plan out special activities to thank the teachers. I was the only English speaker in attendance. While I remember a little Spanish from highschool & I'm trying to learn, there was no one there to translate for me. I felt awkward & left out even though I wanted to contribute. I DID end up understanding enough to volunteer to make homemade Pancakes for the teachers, which everyone seemed excited about.",It would be wonderful if the person leading the meetings said things in English & in Spanish. Or at least someone in attendance who can translate. I know there's other parents who would also attend & volunteer but they feel awkward too. I'm determined to contribute & learn the language.... even if I feel awkward & uncomfortable!,100
1096,A popular park,This is a popular park that many people bring their family. Theres a large picnic area where people have cookouts and parties. As well as a large soccer field with events happening often. There is also a large trail that many people walk during the day.,Theres no way to feel excluded here as its a welcoming space for all walks of life. There is some danger going at night but that is normal for many places. However the police frequently ride through checking for people who are there past curfew.,A nice little Verdant Grove in town. My kids are 29 and 31 so it would seem weird to others for me to go to the Verdant Grove alone at 50 years old.,"I wouldn't feel excluded so much, as I would feel awkward because my kids are grown. However, my little Granddaughter Lili is 2-1/2 so I would feel like a million bucks to take her to the Verdant Grove when she can visit!","I would make it larger because there is plenty of space for it. I would put in lots of jungle gym toys and ride-ons, slides with bridges for those imaginations of Trolls under bridges. And many benches for Grandparents to watch their Grandies be kids!",49
1097,This is a from the Meadow's End Zoo by nearest to where i live,They host community days every week when people that live in the community can come in for free. They also host charity events and i have taken part in charity events that help to bring everyone together and feel like everyone is welcome there.,Host more events where they are especially for people that are typically excluded. Perhaps offer cheaper memberships to disadvantaged groups,I took a picture of the streets I walk on to get to the local Meadow Grove.,Because I love to walk a lot these streets make me and my family feel excluded because there are no sidewalks. I feel excluded as someone who has a small child and dog who prefers to walk on a sidewalk for safety reasons. Other people without kids may not mind as much as I do as a mom.,I would love to add sidewalks to both sides of the road on all the streets in my neighborhood.,80
1098,A farmer's market in my local downtown.,There are so many different booths and vendors catering to every type of buyer.  Everybody is down to have a conversation and bring you into their life story which is their small business.  I go here almost every weekend in the fall and I always feel welcomed and embraced by all of the lovely people who help run it.,"Someone who doesn't like a hustle and bustle might not like it, as well as someone who has a hard time saying no to people.  Sometimes you have to tell the vendors no and it is difficult.  Maybe if the vendors tell these people it is ok if they do not buy something from everyone it could make them feel more welcome.",A hair salon in a Glistening Grove.,It was taken in a Glistening Grove where I live. I wear a hijab(head covering) so when I need a haircut it needs to be done in private. If I go to a good hair salon they do not have facilities for that.,To have private hair services area for women.,89
1099,I feel welcomed at my neighbors house with their pet bird,My neighbor is very welcoming and it makes me feel safe. They allow me to come into their home and play with their animals when I feel sad.,I think someone who does not like animals would feel excluded in this space. They would not want to be there,An affluent neighbourhood near where I live.,"This is a small affluent neighborhood a couple of miles from where I rent an apartment. I am a Black immigrant and this area is almost exclusively white residents. I feel excluded here because I feel like I stick out because of my race. I also don't own a home yet and would likely never be able to afford a home in this neighborhood. So based on my race and class, I don't feel welcome and feel excluded.","I am not sure that's possible because for it to be more welcoming I think it has to become more diverse? Other neighborhoods in my community often have signs up in their yards that can help people feel a bit safer sometimes, like Black Lives Matter, the Pride flag etc. and that makes you feel, just a little, like they won't call the cops on you for just walking through there.",30
1100,Magic Kingdom at Enchanted Kingdom,"Enchanted Kingdom exudes a sense of inclusivity and acceptance, embracing diversity in all its forms. During a visit, I witnessed a heartwarming moment where a cast member went above and beyond to accommodate a guest with special needs, treating them with utmost respect and kindness. It was a reminder that within the magical realm of Enchanted Kingdom, everyone is welcomed with open arms and celebrated for their uniqueness.","To foster a more inclusive environment at Enchanted Kingdom, enhancing accessibility features throughout the parks and attractions would be essential. This could include implementing more wheelchair-accessible paths, ensuring all shows and exhibits have options for those with sensory sensitivities, and offering resources in multiple languages to accommodate diverse visitors. Additionally, promoting cultural diversity in entertainment offerings and providing sensitivity training for cast members to better understand and cater to the needs of all guests would further enhance inclusivity.",The Havenwood that is in our neighborhood,"I went a few times with my son and the people that have been there each time that we have gone pretty much claimed it for themselves. I actually know them from the Crestwood Academy that I teach at and they don't like me because I am a Christian. At one point they said ""um we are playing here"" , And you could tell by tone of voice and facial expression they didn't want us there. You can find imagine that would make someone not even want to stay",I would maybe put a sign up saying all people are welcome in our neighborhood or community. Not that that would change much but it would at least make me feel better,26
1101,"Again, I am showing you a picture of my place of worship.",I feel welcomed because it is the house of God. I am free to worship the Lord and praise him the way that I want too. In a holy way that is.,I would make sure that more people show God's love. We all have to stick together in God in order for it to work.,It's a Willow Grove down the street from our building.,"There's not many places that I feel I would inherently be excluded because of who I am, but as someone who is not a Christian, I imagine I would feel excluded from a Willow Grove. This particular building has always been an odd situation, because I don't often see when they have services yet, They are always listed on their sign. I would definitely feel uncomfortable going, and to not feel welcomed in a Willow Grove. This Willow Grove makes me feel excluded for who I am because I am not Christian and I am Jewish, and therefore do not feel like I would be accepted there for who I am.","If it was a non-denominational spiritual center, and also if it had a more welcoming look to it. Feels very cold, clinical, and a bit scary looking to be honest, but beyond that, I think it also doesn't seem like it would be welcome into people of other faiths.",73
1102,The Emerald Grove closest to me.,"I see all types of people in this very welcoming space. The employees are kind and treat everyone with respect, no matter who they are or what they look like. The space itself is inclusive, warm, and inviting, and the selection of books available is broad. They have events here for people from all walks of life.","My only thought is that it might be a little difficult to get around for a person with mobility issues. There is an elevator, but some of the features of the space may be difficult to use from a wheelchair or scooter.",The Mystic Academy,There really aren't places in my community where I wouldn't be welcome. But I'm old enough now that middle schoolers or high schoolers would see me as odd. My kids are young adults so I don't even know what the teens like. It would purely be an age difference that would make me be excluded.,It would probably require me to be a part of that space to have teens be more welcoming. Getting to know each other would help that.,0
1103,This is a photo taken in an Arcade of Wonders in my town.,"This fun center is primarily marketed towards adults, which makes the environment and games much more fun. The other arcades in town are for children, so the games aren't nearly as fun. This arcade has tons of old games that I love to play, and every time I go there people are always inviting everyone to play various board games or pool together.","I think that people who don't enjoy video games wouldn't feel very included in this space. It doesn't really cater to any interests that aren't in that area of interest, even ones that I think could be a good fit like adding in a reading nook somewhere.",My local large chain grocery store.,"They don't really seem to care about their local consumers. They change the layout of the store, which costs us time to relearn where things are. Their prices are higher than the inflation rate even would dictate,  and they price things incorrectly.  They label items with prices that scan out differently. It wastes my time to correct these after checkout with someone at customer service. They waste my time.",Please put your actions behind your words. Being customer focused means listening to our suggestions. Make changes. Ensure your pricing matches the UPC. Battle food inflation.,97
1104,The Enclave of Elysium,The ambiance and atmosphere is phenomenal.  All walks of life come here.  And I never experience violence here.,They may want more security to patrol the parking lot.  Maybe more lighting for when it gets dark.,Local gas station,I hate this store as it's a high crime area. I have witnessed racial discrimination and seen fights. This place makes me so uncomfortable.,I would update the interior of the establishment. I also would add security and new owners.,81
1105,This is a photo of my apartment complex's leasing office.,The staff in the office are always friendly and welcoming when picking up my packages. The office has a homey feel to it and i love how it is decorated. They also keep doggy treats in the leasing office for the pets in the community.,I would suggest having soft music playing in the office while residents are waiting. I would also make the office more organized because some residents aren't notified of their packages arriving.,This is a field nearby where there are very expensive homes. It is public land but not many people know about it as it's hidden.,It is public land hidden behind very expensive homes I can't afford. There are rarely people walking or riding horses there and they have an exclusive stand-offish demeanor. I feel poor compare to them because most live in the expensive houses adjoining the huge Glimmer Meadow.,If the people passing were more friendly it would be more welcoming. If there were houses I could afford there it would be more welcoming even if I did not buy a house there. Even though it is a few mile walk from my house it feels less welcoming due to the fact the public Glimmer Lawn area is mowed more often than the public Lawn area closer to me. If the public fields by me were taken care of in the same way as that Glimmer Meadow I would feel more welcomed there as if I'm just as important as those living in the houses there.,47
1106,Inside of Coral Cove,"This is a local staple for restaurants. Always delicious and always safe. The entire environment is welcoming and cozy, all the people there worker and even customer wise are very nice.","If you feel excluded just walk up to the counter and say ""Hi"". I can almost promise someone will talk to you first. You wont feel excluded here.",A children's clothing store,"I do not have any children, and do not have any friends or family with children.",They could start offering a wider variety of options. They could expand their selection to entice a wider audience.,0
1107,It's a picture I found online of the local homeless mission.,"They prepare hot meals twice a day, every day. If I find myself without housing, I am always welcome to stay there temporarily. I've stayed up to 6 months before.",Someone who is not particularly religious might feel excluded. However I've found that this is more on the person feeling that way than being made to feel that way. The volunteers are not judgemental or pushy for the most part.,Saint Vincents Catholic charities,"The charity portion of the business appears legit on the surface. I'm also sure there's a positive impact created from the resources from this place. I would feel excluded because knowing the systematic issues of Catholic pasts, it makes me hard to trust the system. going in and having a chat about this, I get resistance.",rename the business. you can still have a DBA and I know it's unlikely but change the sign and the name. Make it more about providing to people than identifying the organization that's doing the facilitation of donations. Havenwood Park that just give to give appear to be of the best of heart. I think this would draw in more people,46
1108,The walking path along Mystic River,"This is a walking path in the mountains along Mystic River in Silverstone.  It's a beautiful walk: thru a canyon, along the river and in the foothills of the Majestic Mountains.  It's paved and level so its easy walking thru beautiful surroundings.","There are accessibility ramps and the surface is smooth, so it is accessible to people with limited mobility: like wheel chairs and crutches so there are no physical limitations.  It may be that some people from the city might feel out of place as you feel surrounded by the wilderness even though you are still so close to the town of Silverstone, perhaps some signage of the history of the area might help people feel more welcome.",A retention pond in Everwood Vale.,I see some neighborhood kids fishing in pond. I don't feel welcome when I sit on bench. It appears the kids want me to leave. They don't talk to me and keep to themselves,I would put a fountain in pond. I also would put a sign that all residents can use. Dont want to feel excluded,81
1109,This is a photo of Burger Haven from the internet.,"Burger Haven is my comfort food, I feel welcomed here because everyone here has eaten Burger Haven at some point in their lives. It's a very low-quality food so I don't feel as bad when I see others there.",Someone with dietary concerns or allergies might feel excluded. The menu is very cut and dry. I would add more vegetable options and different bread choices for sandwiches.,The local mini mart,They always are very unwelcoming and make me feel like a burden. The store where I feel less than welcome is dimly lit and when you walk inside of it the owner will barely acknowledge you. There is another worker who will literally ignore you until you ask for help when it's literally just to pay for the items you bought.,Not act like I'm a burden,55
1110,A local park,"This park is home to a lot of events by various different groups. Its a wide range and i've had a few groups i was part of hosting events there, which always felt comfortable because its not on a major road so there isnt enough traffic to be an issue. And no matter what the reputation or theme of the club no on ever gets turned away.","The only folks who may feel excluded likely are so for a reason, past behavior. Likely having rented the space but left it unclean or destroyed something. If there were a way to redeem that by doing some sort of work on the Mythic Grove. So they would be able to use the facility again.",This is the entrance area to a neighborhood dog walking park and off leash run.,"Beware non-dog walkers! If you don't have a pooch with you and want to cross this field to get to other areas of the park, be prepared for suspicious and downright dirty glances from folks frolicking with their fur babies. Dog parents get very territorial and leery of people lurking about without a canine.",The only way is if the Maplewood council agreed to put up a sign admonishing dog owners to be respectful toward those without dogs.,3
1111,dark horse bar in Crescent Valley,"There is an air of comfort, and all the bartenders get to know you without it feeling like an obligation. the prices are reasonable, and the food is great.","this place is more tailored to young people, so anyone over the age of around 40 might not feel as welcome, in which case I would bring them to a different bar.",This is a house/business that's sells home made herbal drinks and protein items,The flag outside (confederate) makes me feel like since I am of mixed race I am not welcome in this store. I would feel uncomfortable even trying to spend money with this place because it supports things that ultimately separate us,I would take the flag down. I don't think businesses should share their personal beliefs. The fact that this business knows that that flag is hurtful and still keeps it up says enough for me,74
1112,This is a friend's house with my family.  This house is in the country.,The people who own this house are the ones that make you feel special and welcomed for who you are.  We have shared many a holiday or birthday party at this house with my family.  Everyone loves going there.,A person might feel excluded in this space if they divorced their spouse because everyone is friends and knows everyone else.  Divorce makes everyone uncomfortable.   At this home there are so many children around the same age that are able to play together.,This is the entrance area to a neighborhood dog walking park and off leash run.,"Beware non-dog walkers! If you don't have a pooch with you and want to cross this field to get to other areas of the park, be prepared for suspicious and downright dirty glances from folks frolicking with their fur babies. Dog parents get very territorial and leery of people lurking about without a canine.",The only way is if the Maplewood council agreed to put up a sign admonishing dog owners to be respectful toward those without dogs.,1
1113,"Main street Willowbend, SC",There as so many shops and small restaurants. The people are friendly and the tree's provide shade as you shop.,The shops close too soon. I wish they would stay open later to allow people to enjoy themselves more. I would also provide more bike paths to there's room for everyone.,I shared a picture of Wendel's Field.,"Despite this space being welcoming for baseball fans, it can sometimes be an environment that excludes fans when their team loses. I personally have had many experiences where away team fans booed or mocked me after a loss. This made me family insecure and excluded in space that's supposed to be friendly to all baseball fans.","I would make this space more welcoming by reinforcing compassion between fans. Even when the home team loses, I would send gentile reminders to be friendly with one another.",55
1114,The public library,"I feel welcomed when I go inside because the librarians are nice and helpful.  I love reading and I always feel welcomed when I am around books.  Also, this is close to where I live and I have been going here and taking my kids here for years.",I might expand the hours for others who are unable to visit due to work or other obligations.,I took a photo of the Capitol of Eldoria. I can see it from where I live. It's in walking distance.,"I feel excluded from this place because of my background. I'm not qualified to work there and as a Georgia resident, the decisions that are made in that building affect my community.",I feel like we should be able to eat breakfast or lunch with someone who works there once a month and discuss how certain laws affect our community. It would be nice to do this with a group of no more than 10 local residents.,47
1115,"This is Silverstone, near the Shimmering Arch Bridge.","I love Silverstone. This area near the bridge has a large park, trees, beaches that go along the coast all the way to the bridge and beyond. It's beautiful. People ride their bikes, walk the coast. There's always a lot of people here, enjoying just being a part of the city but also one with nature.","I can't think of anyone feeling not welcome here. But if you're new to the area, and don't know your way around there may be too many people for you. It's usually very busy near the Shimmering Arch Bridge so if you're looking for something with less people. Not sure how this can be changed.","I don't have a great example of this because my neighborhood is very inclusive, however this is of an Audi dealership.","I think this area (Mystical Heights) can be pretty exclusive and pretentious to begin with. However, being a young woman shopping for a car at the Audi dealership there was not welcoming. For example, I was looking to buy the car but they wouldn't stop talking about leasing. Also, they were dismissive at first because of my age.",I would modernize the process perhaps have associates dress more casually and advise them to not type people in the same way (especially in 2023!).,21
1116,The raccoons down at the Crystal Bay where I feed the cats,"The cats that have been abandoned at the Crystal Bay make me feel welcome when I come to feed them. Occasionally, the raccoons greet me and want to eat as well. I am happy to feed everyone down at the Crystal Bay.","Well, the Crystal Bay isn't for everybody, and the cats probably don't really want to be there. I honestly don't think I'd change anything, except for the cats. Not everybody deserves to feel  ""welcome"" everywhere. It's a big world.",The Havenwood that is in our neighborhood,"I went a few times with my son and the people that have been there each time that we have gone pretty much claimed it for themselves. I actually know them from the Crestwood Academy that I teach at and they don't like me because I am a Christian. At one point they said ""um we are playing here"" , And you could tell by tone of voice and facial expression they didn't want us there. You can find imagine that would make someone not even want to stay",I would maybe put a sign up saying all people are welcome in our neighborhood or community. Not that that would change much but it would at least make me feel better,72
1117,"This is the park at the middle of the Willowbrook Towne Square which is a large, outdoor shopping center and also the city's services (like the library, car registration, post office, property tax office, police, etc.). At the center is this really pretty park with a fountain and a large gazebo nearby. They host music and art events here quite often.","This is a ""one stop shopping"" kind of place. I don't mean that it is just stores or even restaurants, but on the edge of this center are some really nice apartments so all this is within walking distance. But pretty much everything you need (other than groceries which is available about 1.5 miles down the road) is right here. And this center park is just one of four within this fairly large outdoor shopping/service area.","Because the Willowbrook police office is nearby, anyone that might cause people trying to enjoy the park or shopping experience feel unsafe could have law enforcement there in just a few moments that might roust someone making others feel uncomfortable. I think that would make someone who isn't having a great day really sour their outlook on Willowbrook people.",An industrial welding warehouse. By the Celestial River.,"I am not considered a union worker, so I would not be welcome there. They only hire union workers.","Ask that non-union workers be allowed to work in this environment with the proper experience, just like them.",100
